repo           artifact                     tokens  file-cov  dir-cov  src files
--------------------------------------------------------------------------------
alonetone      stacklit derive                 538     0.000    1.000        448
alonetone      pixel list-areas               2363     0.000    0.319        448
alonetone      pixel repo-map --markdown     35160     1.000    1.000        448

dd-trace-rb    stacklit derive                3105     0.001    0.389       2072
dd-trace-rb    pixel list-areas               2469     0.000    0.204       2072
dd-trace-rb    pixel repo-map --markdown    186221     0.926    0.951       2072

GitNexus       stacklit derive                2521     0.000    0.111       3808
GitNexus       pixel list-areas               2659     0.000    0.244       3808
GitNexus       pixel repo-map --markdown    179676     0.457    0.460       3808

pixel          stacklit derive                 369     0.008    0.682        239
pixel          pixel list-areas               2445     0.000    0.494        239
pixel          pixel repo-map --markdown     91799     1.000    1.000        239

